"sampleID" "broad.cluster" "cluster" "diagnosis"
"2327" 14 "L" "L4" "Control"
"2328" 14 "L" "L4" "Control"
"2329" 14 "L" "L4" "Control"
"2330" 14 "L" "L4" "Control"
"2331" 14 "L" "L4" "Control"
"2332" 14 "L" "L4" "Control"
"2334" 14 "L" "L2/3" "Control"
"2335" 14 "L" "L4" "Control"
"2336" 14 "L" "L4" "Control"
"2338" 14 "L" "L2/3" "Control"
"2339" 14 "L" "L2/3" "Control"
"2340" 14 "L" "L4" "Control"
"2341" 14 "L" "L5/6-CC" "Control"
"2343" 14 "L" "L2/3" "Control"
"2344" 14 "L" "L4" "Control"
"2345" 14 "L" "L5/6" "Control"
"2346" 14 "L" "L5/6-CC" "Control"
"2348" 14 "L" "L2/3" "Control"
"2349" 14 "L" "L2/3" "Control"
"2350" 14 "L" "L2/3" "Control"
"2351" 14 "L" "L2/3" "Control"
"2352" 14 "L" "L4" "Control"
"2354" 14 "L" "L2/3" "Control"
"2355" 14 "L" "L2/3" "Control"
"2356" 14 "L" "L2/3" "Control"
"2357" 14 "L" "L4" "Control"
"2358" 14 "L" "L5/6-CC" "Control"
"2360" 14 "L" "L4" "Control"
"2361" 14 "L" "L5/6" "Control"
"2362" 14 "L" "L5/6" "Control"
"2363" 14 "L" "L5/6" "Control"
"2364" 14 "L" "L5/6" "Control"
"2365" 14 "L" "L5/6" "Control"
"2366" 14 "L" "L5/6-CC" "Control"
"2368" 14 "L" "L2/3" "Control"
"2369" 14 "L" "L4" "Control"
"2377" 14 "L" "L2/3" "Control"
"2388" 14 "L" "L4" "Control"
"2389" 14 "L" "L5/6" "Control"
"2395" 14 "L" "L2/3" "Control"
"2396" 14 "L" "L4" "Control"
"2397" 14 "L" "L5/6" "Control"
"2459" 15 "L" "L2/3" "ASD"
"2460" 15 "L" "L4" "ASD"
