"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_375" 10 "L" "L2/3" "ASD"
"mc_L_376" 10 "L" "L2/3" "ASD"
"mc_L_377" 10 "L" "L5/6-CC" "ASD"
"mc_L_378" 10 "L" "L5/6-CC" "ASD"
"mc_L_379" 10 "L" "L2/3" "ASD"
"mc_L_380" 11 "L" "L5/6" "ASD"
"mc_L_381" 11 "L" "L5/6" "ASD"
"mc_L_382" 11 "L" "L5/6" "ASD"
"mc_L_383" 11 "L" "L5/6" "ASD"
"mc_L_384" 11 "L" "L5/6" "ASD"
"mc_L_385" 11 "L" "L2/3" "ASD"
"mc_L_386" 11 "L" "L2/3" "ASD"
"mc_L_387" 11 "L" "L4" "ASD"
"mc_L_388" 11 "L" "L5/6-CC" "ASD"
"mc_L_389" 11 "L" "L4" "ASD"
"mc_L_390" 11 "L" "L4" "ASD"
"mc_L_391" 11 "L" "L4" "ASD"
"mc_L_392" 11 "L" "L4" "ASD"
"mc_L_393" 11 "L" "L5/6" "ASD"
"mc_L_394" 11 "L" "L5/6-CC" "ASD"
"mc_L_395" 11 "L" "L5/6-CC" "ASD"
"mc_L_396" 11 "L" "L2/3" "ASD"
"mc_L_397" 11 "L" "L4" "ASD"
"mc_L_398" 11 "L" "L5/6" "ASD"
"mc_L_399" 11 "L" "L5/6-CC" "ASD"
"mc_L_400" 11 "L" "L5/6-CC" "ASD"
"mc_L_401" 11 "L" "L5/6-CC" "ASD"
"mc_L_402" 11 "L" "L5/6-CC" "ASD"
"mc_L_403" 11 "L" "L5/6-CC" "ASD"
"mc_L_404" 11 "L" "L5/6" "ASD"
"mc_L_405" 12 "L" "L4" "ASD"
"mc_L_406" 12 "L" "L2/3" "ASD"
"mc_L_407" 12 "L" "L2/3" "ASD"
"mc_L_408" 12 "L" "L2/3" "ASD"
"mc_L_409" 12 "L" "L2/3" "ASD"
"mc_L_410" 12 "L" "L2/3" "ASD"
"mc_L_411" 12 "L" "L2/3" "ASD"
"mc_L_412" 12 "L" "L2/3" "ASD"
"mc_L_413" 12 "L" "L2/3" "ASD"
"mc_L_414" 12 "L" "L2/3" "ASD"
"mc_L_415" 12 "L" "L2/3" "ASD"
"mc_L_416" 12 "L" "L2/3" "ASD"
"mc_L_417" 12 "L" "L2/3" "ASD"
"mc_L_418" 12 "L" "L2/3" "ASD"
"mc_L_419" 12 "L" "L2/3" "ASD"
"mc_L_420" 12 "L" "L2/3" "ASD"
"mc_L_421" 12 "L" "L5/6-CC" "ASD"
"mc_L_422" 12 "L" "L2/3" "ASD"
"mc_L_423" 12 "L" "L2/3" "ASD"
"mc_L_424" 12 "L" "L2/3" "ASD"
"mc_L_425" 12 "L" "L2/3" "ASD"
"mc_L_426" 12 "L" "L2/3" "ASD"
"mc_L_427" 12 "L" "L5/6-CC" "ASD"
